software,RF,KNN,DT,SVC,BNB,GNB,GKCI,CAPE
Ant,0.8527,0.7676,0.6058,0.8124,0.7792,0.8072,0.55145,0.997
ArgoUML,0.9681,0.8022,0.7416,0.9511,0.9399,0.853,0.23425,0.9123
GWT Portlets,0.702,0.6136,0.5994,0.7126,0.5991,0.6846,0.4737,0.9372
javaclient,0.9291,0.906,0.807,0.8876,0.8524,0.8428,0.6449,0.9786
jEdit,0.9607,0.7112,0.6566,0.9241,0.8559,0.9441,0.16885,1
JGAP,0.918,0.8739,0.6367,0.8728,0.8088,0.8564,0.5247,0.9778
jHotDraw,0.9838,0.8081,0.7092,0.9817,0.8951,0.7521,0.24855,0.9281
jMeter,0.7989,0.6101,0.5831,0.6605,0.8273,0.5856,0.34265,0.9351
JPMC,0.8969,0.7016,0.7235,0.6544,0.7349,0.6829,0.83735,0.9781
log4j,0.7984,0.6202,0.5652,0.748,0.8283,0.6746,0.3212,0.9283
Mars,0.9216,0.86,0.7086,0.8352,0.8587,0.8674,0.4383,0.9402
Maze,0.8361,0.7089,0.7083,0.7636,0.6577,0.6651,0.5493,0.9737
Neuroph,0.9456,0.9252,0.7652,0.9159,0.7988,0.8806,0.61675,0.9814
PDFBox,0.8902,0.6652,0.5799,0.791,0.9226,0.7398,0.20925,0.96
tomcat,0.9428,0.8588,0.7077,0.9176,0.8846,0.9023,0.4542,0.9755
wro4j,0.9882,0.9072,0.7323,0.9827,0.9174,0.8209,0.46375,0.9321
Xerces,0.7479,0.5832,0.5186,0.7406,0.8807,0.3371,0.24755,0.9552
xuml-compiler,0.9981,0.9467,0.9306,0.9556,0.955,0.8198,0.9505,1
