software,RF,KNN,DT,SVC,BNB,GNB,GKCI,CAPE
Ant,0.2288,0.0774,0.1976,0.0017,0.0672,0.2467,0.2,0.8646
ArgoUML,0.5013,0.2078,0.5056,0,0.1598,0.2938,0,0.4783
GWT Portlets,0.3013,0.1491,0.3614,0.1079,0.2517,0.4831,0.1481,0.7971
javaclient,0.7592,0.7566,0.7147,0.7133,0.5668,0.6355,0.5614,0.9392
jEdit,0.2015,0.014,0.2724,0,0.0734,0.3131,0,0.971
JGAP,0.1126,0.1616,0.2865,0,0.2376,0.2804,0.1111,0.6473
jHotDraw,0.387,0.209,0.4184,0,0.1215,0.2506,0,0.6458
jMeter,0.0778,0.0036,0.202,0,0.2527,0.1832,0,0.5693
JPMC,0.415,0.1453,0.5231,0.0126,0.3908,0.3698,0.5,0.8936
log4j,0.0128,0,0.1091,0,0.0507,0.1258,0,0.3983
Mars,0.4429,0.2857,0.4079,0.0224,0.1643,0.29,0.1379,0.6022
Maze,0.6843,0.4781,0.6472,0.5871,0.4938,0.5618,0.4444,0.9191
Neuroph,0.64,0.6824,0.5809,0.3563,0.4554,0.5416,0.3333,0.8668
PDFBox,0.0874,0.0029,0.1525,0,0.0751,0.0876,0,0.6105
tomcat,0.4164,0.3713,0.4078,0.0312,0.1198,0.1058,0.0714,0.7794
wro4j,0.4825,0.4173,0.4715,0.0118,0.1539,0.4294,0,0.4467
Xerces,0,0,0.0325,0,0.0435,0.0179,0,0.4961
xuml-compiler,0.9308,0.6831,0.8726,0.5244,0.6199,0.4321,0.7568,0.9952
