software,RF,KNN,DT,SVC,BNB,GNB,GKCI,CAPE
Ant,0.254,0.088,0.1961,0.0021,0.0825,0.2748,0.191,0.8703
ArgoUML,0.559,0.2639,0.5148,0,0.2461,0.3393,-0.0144,0.5312
GWT Portlets,0.2445,0.1431,0.2007,0.1067,0.0691,0.3615,-0.0588,0.7486
javaclient,0.6867,0.6793,0.6175,0.6655,0.3859,0.4973,0.4044,0.9182
jEdit,0.2178,0.0164,0.281,0,0.115,0.3953,-0.0063,0.9732
JGAP,0.1325,0.1464,0.2603,0,0.2107,0.257,0.0711,0.6608
jHotDraw,0.443,0.2494,0.4304,0,0.1878,0.3055,-0.0167,0.6815
jMeter,0.0844,0.0036,0.1637,0,0.2623,0.1278,-0.0569,0.5787
JPMC,0.4112,0.1183,0.4395,0.0178,0.2476,0.2221,0.4032,0.8761
log4j,0.0133,-0.0001,0.1077,0,0.0907,0.1575,-0.0073,0.4538
Mars,0.475,0.3019,0.3981,0.0391,0.2256,0.286,0.1151,0.6265
Maze,0.5175,0.3384,0.4209,0.4565,0.1935,0.3614,0.0966,0.8695
Neuroph,0.6094,0.6491,0.5257,0.3813,0.3832,0.4773,0.2281,0.8511
PDFBox,0.1093,0.0037,0.1501,0,0.1487,0.1368,-0.0092,0.6524
tomcat,0.4966,0.4215,0.4062,0.0616,0.1863,0.1691,0.0578,0.7931
wro4j,0.5142,0.4815,0.4755,0.015,0.2376,0.4649,-0.0211,0.4901
Xerces,0,0,0.0282,0,0.0626,0.0032,-0.0059,0.5425
xuml-compiler,0.9268,0.6485,0.8596,0.5163,0.6099,0.4137,0.7272,0.9946
