software,RF,KNN,DT,SVC,BNB,GNB,GKCI,CAPE
Ant,0.176,0.056,0.222,0.001,0.285,0.509,0.2,0.896
ArgoUML,0.3667,0.1342,0.4892,0,0.8333,0.6708,0,0.8108
GWT Portlets,0.2245,0.0925,0.3711,0.0682,0.2673,0.4887,0.1429,0.8752
javaclient,0.7202,0.7469,0.7166,0.5886,0.8592,0.709,0.5517,0.9552
jEdit,0.1596,0.0092,0.3183,0,0.4521,0.8433,0,0.9704
JGAP,0.0739,0.15,0.31,0,0.405,0.3533,0.1111,0.89
jHotDraw,0.2748,0.1408,0.4278,0,0.7758,0.7018,0,0.8335
jMeter,0.0514,0.0021,0.2136,0,0.76,0.3214,0,0.8264
JPMC,0.305,0.0983,0.5475,0.0071,0.5283,0.7354,0.5,0.9317
log4j,0.0098,0,0.1388,0,0.5122,0.421,0,0.7292
Mars,0.3319,0.2325,0.4367,0.0129,0.8142,0.4542,0.1333,0.8794
Maze,0.6541,0.3785,0.6818,0.4822,0.4965,0.5009,0.4286,0.943
Neuroph,0.5675,0.6704,0.5996,0.2488,0.7962,0.5396,0.3333,0.9213
PDFBox,0.0558,0.0017,0.1683,0,0.7733,0.58,0,0.835
tomcat,0.2764,0.2643,0.425,0.0168,0.7307,0.9004,0.0714,0.9179
wro4j,0.3825,0.3,0.475,0.0075,0.9125,0.7783,0,0.7883
Xerces,0,0,0.045,0,0.235,0.1917,0,0.7083
xuml-compiler,0.8797,0.7335,0.8782,0.4527,0.9679,0.9347,0.7368,1
