software,RF,KNN,DT,SVC,BNB,GNB,GKCI,CAPE
Ant,0.4115,0.1554,0.2052,0.005,0.0385,0.1692,0.2,0.862
ArgoUML,0.9061,0.5572,0.5874,0,0.0885,0.1909,0,0.4238
GWT Portlets,0.5373,0.4734,0.3693,0.3808,0.2667,0.5096,0.1538,0.7451
javaclient,0.815,0.7833,0.7241,0.9129,0.4245,0.6353,0.5714,0.9275
jEdit,0.3225,0.03,0.281,0,0.0407,0.2053,0,0.9818
JGAP,0.3125,0.2152,0.2898,0,0.1732,0.2608,0.1111,0.5336
jHotDraw,0.7654,0.4679,0.4984,0,0.0673,0.1565,0,0.6373
jMeter,0.1953,0.0125,0.2141,0,0.1525,0.1318,0,0.4763
JPMC,0.7494,0.3706,0.5277,0.0695,0.3147,0.2494,0.5,0.8683
log4j,0.0229,0,0.102,0,0.0268,0.0755,0,0.361
Mars,0.7304,0.475,0.4056,0.1353,0.0914,0.2182,0.1429,0.4788
Maze,0.741,0.7392,0.6376,0.7971,0.512,0.6764,0.4615,0.9017
Neuroph,0.7661,0.7328,0.5941,0.7646,0.3203,0.5706,0.3333,0.832
PDFBox,0.2308,0.01,0.1588,0,0.0395,0.0481,0,0.5909
tomcat,0.941,0.7324,0.4197,0.23,0.0653,0.0577,0.0714,0.7114
wro4j,0.7473,0.8474,0.528,0.0335,0.0848,0.3038,0,0.3652
Xerces,0,0,0.0283,0,0.024,0.0097,0,0.4992
xuml-compiler,0.9943,0.6573,0.8767,0.7284,0.4583,0.3103,0.7778,0.9906
