software,a-index,PageRank_BR,PageRank,g-core,h-index,k-core,PageRank_IVOL,ElementRank,Pride,CAPE
Ant,0,0.0875,0.0875,0.0972,0.0972,0.0896,0.1111,0.1086,0.1111,0.8646
ArgoUML,0.0193,0.1739,0.1739,0.1204,0.1223,0.1188,0.1738,0.1651,0.1703,0.4783
GWT Portlets,0.091,0.455,0.455,0.3519,0.4383,0.4361,0.5004,0.4955,0.512,0.7971
javaclient,0,0.1815,0.1815,0.5338,0.5432,0.5432,0.1551,0.1373,0.4232,0.9392
jEdit,0,0.0828,0.0828,0.0709,0.0825,0.074,0.0828,0.0828,0.0828,0.971
JGAP,0,0.2492,0.2492,0.3385,0.351,0.336,0.1458,0.1802,0.1632,0.6473
jHotDraw,0,0.1969,0.1969,0.1959,0.202,0.2018,0.158,0.202,0.202,0.6458
jMeter,0.0408,0.2692,0.2692,0.2319,0.3635,0.3188,0.1958,0.1858,0.2385,0.5693
JPMC,0.0746,0.3332,0.3332,0.0342,0.0546,0.0465,0.1254,0.0985,0.0445,0.8936
log4j,0,0.0518,0.0518,0.0622,0.0632,0.0623,0.0653,0.0672,0.0829,0.3983
Mars,0.0312,0.1771,0.1771,0.1954,0.1949,0.1949,0.1757,0.2194,0.1794,0.6022
Maze,0.2456,0.2184,0.2184,0.4307,0.36,0.3482,0.4577,0.4995,0.486,0.9191
Neuroph,0.0352,0.476,0.476,0.2404,0.4468,0.5016,0.5384,0.4772,0.4884,0.8668
PDFBox,0,0.0999,0.0999,0.1055,0.1117,0.1044,0.09,0.1051,0,0.6105
tomcat,0.0245,0.0781,0.0781,0.1708,0.1588,0.1603,0.1073,0.121,0.1613,0.7794
wro4j,0,0.1849,0.1849,0.2045,0.2245,0.2245,0.231,0.2449,0.2449,0.4467
Xerces,0.0005,0.0373,0.0373,0.0754,0.0759,0.0759,0.0324,0.0506,0.0614,0.4961
xuml-compiler,0.4203,0,0,0.0503,0.0294,0.0275,0,0,0,0.9952
