software,a-index,PageRank_BR,PageRank,g-core,h-index,k-core,PageRank_IVOL,ElementRank,Pride,CAPE
Ant,0,0.047,0.047,0.0522,0.0522,0.0482,0.0597,0.0584,0.0597,0.862
ArgoUML,0.0106,0.0952,0.0952,0.066,0.067,0.0651,0.0951,0.0904,0.0932,0.4238
GWT Portlets,0.1139,0.5689,0.5689,0.44,0.5483,0.5456,0.6256,0.6195,0.64,0.7451
javaclient,0,0.2525,0.2525,0.7422,0.7553,0.7553,0.2156,0.1909,0.5884,0.9275
jEdit,0,0.0432,0.0432,0.037,0.0431,0.0386,0.0432,0.0432,0.0432,0.9818
JGAP,0,0.1608,0.1608,0.2184,0.2264,0.2168,0.094,0.1163,0.1053,0.5336
jHotDraw,0,0.1096,0.1096,0.1091,0.1125,0.1124,0.088,0.1125,0.1125,0.6373
jMeter,0.0279,0.1842,0.1842,0.1587,0.2487,0.2182,0.134,0.1271,0.1632,0.4763
JPMC,0.08,0.3573,0.3573,0.0366,0.0585,0.0498,0.1345,0.1055,0.0477,0.8683
log4j,0,0.0272,0.0272,0.0326,0.0331,0.0327,0.0342,0.0353,0.0435,0.361
Mars,0.0183,0.104,0.104,0.1148,0.1145,0.1145,0.1032,0.1289,0.1054,0.4788
Maze,0.454,0.404,0.404,0.797,0.666,0.644,0.847,0.924,0.899,0.9017
Neuroph,0.0338,0.4577,0.4577,0.2312,0.4296,0.4823,0.5177,0.4588,0.4696,0.832
PDFBox,0,0.053,0.053,0.0559,0.0592,0.0553,0.0477,0.0557,0,0.5909
tomcat,0.0134,0.0429,0.0429,0.0937,0.0871,0.0879,0.0589,0.0664,0.0885,0.7114
wro4j,0,0.1053,0.1053,0.1165,0.1279,0.1279,0.1316,0.1395,0.1395,0.3652
Xerces,0.0003,0.0194,0.0194,0.0392,0.0395,0.0395,0.0169,0.0263,0.0319,0.4992
xuml-compiler,0.3723,0,0,0.0446,0.0261,0.0244,0,0,0,0.9906
