software,a-index,PageRank_BR,PageRank,g-core,h-index,k-core,PageRank_IVOL,ElementRank,Pride,CAPE
Ant,0,0.63,0.63,0.7,0.7,0.645,0.8,0.782,0.8,0.896
ArgoUML,0.1108,1,1,0.6925,0.7033,0.6833,0.9992,0.9492,0.9792,0.8108
GWT Portlets,0.0758,0.3794,0.3794,0.2934,0.3653,0.3635,0.4172,0.4132,0.4269,0.8752
javaclient,0,0.1417,0.1417,0.4168,0.4242,0.4242,0.1212,0.1072,0.3304,0.9552
jEdit,0,1,1,0.8521,0.9971,0.8917,1,1,1,0.9704
JGAP,0,0.5539,0.5539,0.7522,0.78,0.7467,0.3239,0.4005,0.3628,0.89
jHotDraw,0,0.975,0.975,0.9697,1,0.999,0.7825,1,1,0.8335
jMeter,0.0757,0.5,0.5,0.4307,0.675,0.5921,0.3636,0.345,0.4429,0.8264
JPMC,0.07,0.3125,0.3125,0.0321,0.0512,0.0437,0.1175,0.0925,0.0416,0.9317
log4j,0,0.5545,0.5545,0.6698,0.6812,0.6707,0.701,0.7227,0.8905,0.7292
Mars,0.1049,0.5961,0.5961,0.6574,0.6556,0.6556,0.5914,0.738,0.6036,0.8794
Maze,0.1684,0.1497,0.1497,0.2952,0.2468,0.2387,0.3137,0.3423,0.3331,0.943
Neuroph,0.0367,0.4958,0.4958,0.2504,0.4654,0.5225,0.5608,0.4971,0.5087,0.9213
PDFBox,0,0.8658,0.8658,0.9142,0.9675,0.9042,0.78,0.9108,0,0.835
tomcat,0.1382,0.4411,0.4411,0.9639,0.8961,0.9046,0.6057,0.6829,0.9104,0.9179
wro4j,0,0.755,0.755,0.835,0.9166,0.9166,0.9433,1,1,0.7883
Xerces,0.0067,0.4917,0.4917,0.9933,1,1,0.4267,0.6667,0.8084,0.7083
xuml-compiler,0.4828,0,0,0.0578,0.0338,0.0316,0,0,0,1
