software,CAPE-A,CAPE-N,CAPE-AN
Ant,0.8716,0.9764,0.997
ArgoUML,0.6396,0.884,0.9123
GWT Portlets,0.8642,0.9221,0.9372
javaclient,0.9789,0.9708,0.9786
jEdit,0.9296,1,1
JGAP,0.711,0.9545,0.9778
jHotDraw,0.937,0.9246,0.9281
jMeter,0.9227,0.9369,0.9351
JPMC,0.9899,0.9607,0.9781
log4j,0.5008,0.94,0.9283
Mars,0.9299,0.929,0.9402
Maze,0.9433,0.9687,0.9737
Neuroph,0.9761,0.9731,0.9814
PDFBox,0.8939,0.9529,0.96
tomcat,0.7204,0.9807,0.9755
wro4j,0.7096,0.9581,0.9321
Xerces,0.7139,0.9438,0.9552
xuml-compiler,0.976,0.9861,1
