software,CAPE-A,CAPE-N,CAPE-AN
Ant,0.1997,0.7336,0.8646
ArgoUML,0.0476,0.3857,0.4783
GWT Portlets,0.583,0.7231,0.7971
javaclient,0.9147,0.9083,0.9392
jEdit,0.8558,0.9967,0.971
JGAP,0.1714,0.5646,0.6473
jHotDraw,0.6073,0.559,0.6458
jMeter,0.5396,0.4987,0.5693
JPMC,0.9393,0.7659,0.8936
log4j,0.0155,0.5405,0.3983
Mars,0.4763,0.5394,0.6022
Maze,0.9019,0.9293,0.9191
Neuroph,0.8287,0.7977,0.8668
PDFBox,0.205,0.6028,0.6105
tomcat,0.0751,0.7849,0.7794
wro4j,0.1489,0.6822,0.4467
Xerces,0.0897,0.5917,0.4961
xuml-compiler,0.7594,0.9211,0.9952
