software,CAPE-A,CAPE-N,CAPE-AN
Ant,0.2671,0.7442,0.8703
ArgoUML,0.0386,0.433,0.5312
GWT Portlets,0.4729,0.6559,0.7486
javaclient,0.8857,0.8761,0.9182
jEdit,0.8656,0.9969,0.9732
JGAP,0.1455,0.5883,0.6608
jHotDraw,0.6522,0.6094,0.6815
jMeter,0.5491,0.5113,0.5787
JPMC,0.9307,0.7298,0.8761
log4j,0.0043,0.5924,0.4538
Mars,0.5048,0.5696,0.6265
Maze,0.8408,0.8861,0.8695
Neuroph,0.8097,0.7741,0.8511
PDFBox,0.278,0.6483,0.6524
tomcat,0.0915,0.8013,0.7931
wro4j,0.1752,0.7196,0.4901
Xerces,0.1024,0.6215,0.5425
xuml-compiler,0.744,0.9145,0.9946
