software,CAPE-A,CAPE-N,CAPE-AN
Ant,0.1463,0.6969,0.862
ArgoUML,0.0275,0.2902,0.4238
GWT Portlets,0.4942,0.6225,0.7451
javaclient,0.8726,0.8864,0.9275
jEdit,0.8949,0.9943,0.9818
JGAP,0.1086,0.4334,0.5336
jHotDraw,0.6006,0.5472,0.6373
jMeter,0.4573,0.3895,0.4763
JPMC,0.929,0.6627,0.8683
log4j,0.0082,0.5439,0.361
Mars,0.3501,0.4043,0.4788
Maze,0.884,0.9015,0.9017
Neuroph,0.7774,0.7371,0.832
PDFBox,0.1327,0.5519,0.5909
tomcat,0.0415,0.7132,0.7114
wro4j,0.0914,0.6507,0.3652
Xerces,0.0599,0.5005,0.4992
xuml-compiler,0.6438,0.8933,0.9906
