software,CAPE-A,CAPE-N,CAPE-AN
Ant,0.695,0.825,0.896
ArgoUML,0.2042,0.7517,0.8108
GWT Portlets,0.7569,0.8797,0.8752
javaclient,0.9653,0.9358,0.9552
jEdit,0.8596,1,0.9704
JGAP,0.4361,0.8928,0.89
jHotDraw,0.8463,0.8335,0.8335
jMeter,0.8029,0.8164,0.8264
JPMC,0.9583,0.9242,0.9317
log4j,0.1577,0.7988,0.7292
Mars,0.8023,0.8651,0.8794
Maze,0.926,0.9641,0.943
Neuroph,0.9125,0.8946,0.9213
PDFBox,0.725,0.8733,0.835
tomcat,0.4071,0.9382,0.9179
wro4j,0.5483,0.9167,0.7883
Xerces,0.2233,0.82,0.7083
xuml-compiler,0.9429,0.9619,1
